Tennis Courts,10:18 AM,0,10:18 AM,0,11/29/2022,10:18 AM,0,10:18 AM,0,10:18 AM,0,10:18 AM
Arc Floor One,160,04:11 PM,160,04:11 PM,160,05:26 PM,155,05:26 PM,155,05:26 PM,155,05:26 PM
Climbing,8,04:11 PM,8,04:11 PM,8,05:26 PM,10,05:26 PM,10,05:26 PM,10,05:26 PM
Arc Olympic Lifting Zones,39,04:11 PM,39,04:11 PM,39,05:26 PM,43,05:26 PM,43,05:26 PM,43,05:26 PM
Arc Floor Two,105,04:11 PM,105,04:11 PM,105,05:26 PM,96,05:26 PM,96,05:26 PM,96,05:26 PM
South Court,7,04:11 PM,7,04:11 PM,7,05:26 PM,15,05:26 PM,15,05:26 PM,15,05:26 PM
Four Court Gym,25,04:11 PM,25,04:11 PM,25,05:26 PM,15,05:26 PM,15,05:26 PM,15,05:26 PM
North Court,0,03:15 PM,0,03:15 PM,0,05:26 PM,0,05:26 PM,0,05:26 PM,0,05:26 PM
Recreation Pool,2,03:40 PM,2,03:40 PM,2,03:40 PM,2,03:40 PM,2,06:06 PM,0,06:06 PM
Competition Pool,9,03:40 PM,9,03:40 PM,9,03:40 PM,9,03:40 PM,9,06:06 PM,6,06:06 PM
Arc Express,21,04:33 PM,19,05:01 PM,23,05:31 PM,22,06:01 PM,25,06:01 PM,25,06:32 PM
Spa,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM,0,01:03 PM
Aquaplex Pool Deck,3,03:40 PM,3,03:40 PM,3,03:40 PM,3,03:40 PM,3,06:06 PM,0,06:06 PM
Tennis Courts,0,10:18 AM,0,10:18 AM,0,10:18 AM,0,10:18 AM,0,06:06 PM,0,06:06 PM
Arc Floor One,155,05:26 PM,155,05:26 PM,155,08:34 PM,144,08:34 PM,144,09:16 PM,109,09:16 PM
Climbing,10,05:26 PM,10,05:26 PM,10,08:34 PM,25,08:34 PM,25,09:16 PM,0,09:16 PM
Arc Olympic Lifting Zones,43,05:26 PM,43,05:26 PM,43,08:34 PM,52,08:34 PM,52,09:16 PM,52,09:16 PM
Arc Floor Two,96,05:26 PM,96,05:26 PM,96,08:34 PM,96,08:34 PM,96,09:16 PM,74,09:16 PM
South Court,15,05:26 PM,15,05:26 PM,15,08:34 PM,20,08:34 PM,20,09:16 PM,17,09:16 PM
Four Court Gym,15,05:26 PM,15,05:26 PM,15,08:34 PM,43,08:34 PM,43,09:16 PM,43,09:16 PM
North Court,0,05:26 PM,0,05:26 PM,0,08:34 PM,2,08:34 PM,2,09:16 PM,4,09:16 PM
Recreation Pool,0,06:06 PM,0,06:06 PM,0,06:06 PM,0,06:06 PM,0,06:06 PM,0,06:06 PM
Competition Pool,6,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM,0,07:04 PM
Arc Express,38,07:09 PM,17,08:25 PM,19,08:25 PM,19,08:59 PM,21,08:59 PM,21,09:29 PM
